"finding_id","file_path","line_number","severity","original_cvss","exclusion_reason","confidence_score","tool_source","original_rule_id","exclusion_category","review_status","timestamp"
"FP-GOSEC-001","test/e2e/framework/framework.go","156","MEDIUM","5.0","Test code path - E2E framework file used exclusively for end-to-end testing; findings in test infrastructure do not affect production security posture","0.97","gosec","G103","test_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-GOSEC-002","test/e2e/framework/pod/wait.go","89","LOW","3.5","Test code path - Test helper function for pod waiting logic; no production code path","0.96","gosec","G104","test_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-GOSEC-003","test/integration/apiserver/apiserver_test.go","234","MEDIUM","4.5","Test file (_test.go suffix) - Integration test file for API server; test assertions only","0.99","gosec","G201","test_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-GOSEC-004","test/integration/scheduler/scheduler_test.go","567","LOW","3.0","Test file (_test.go suffix) - Scheduler integration test; no production impact","0.99","gosec","G104","test_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-GOSEC-005","test/e2e_node/kubelet_test.go","312","MEDIUM","5.5","Test file (_test.go suffix) - Node E2E test file for kubelet functionality","0.99","gosec","G301","test_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-GOSEC-006","test/utils/audit/audit.go","78","LOW","2.5","Test utility path - Audit parsing utility used only in test infrastructure","0.96","gosec","G104","test_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-GOSEC-007","test/fuzz/json/json_test.go","45","MEDIUM","4.0","Test file (_test.go suffix) - Fuzz testing harness for JSON parsing","0.99","gosec","G103","test_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-GOSEC-008","test/e2e_kubeadm/kubeadm_test.go","189","LOW","3.5","Test file (_test.go suffix) - kubeadm E2E test suite","0.99","gosec","G104","test_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-SEMGREP-001","test/e2e/network/network_test.go","423","MEDIUM","5.0","Test file (_test.go suffix) - Network E2E test with hardcoded test IPs","0.99","semgrep","go.lang.security.audit.net.bind-to-all-interfaces","test_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-SEMGREP-002","test/e2e/storage/volume_test.go","256","LOW","3.0","Test file (_test.go suffix) - Volume test with file permission assertions","0.99","semgrep","go.lang.security.audit.dangerous-exec-command","test_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-GOSEC-009","staging/src/k8s.io/client-go/examples/workqueue/main.go","67","MEDIUM","4.5","Example code path - Client-go example demonstrating workqueue usage; not production code","0.95","gosec","G104","example_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-GOSEC-010","staging/src/k8s.io/client-go/examples/create-update-delete-deployment/main.go","112","LOW","3.5","Example code path - CRUD example for deployments; educational/demo code only","0.95","gosec","G104","example_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-GOSEC-011","staging/src/k8s.io/client-go/examples/in-cluster-client-configuration/main.go","45","MEDIUM","5.0","Example code path - In-cluster config example; simplified for demonstration","0.95","gosec","G304","example_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-SEMGREP-003","staging/src/k8s.io/apiextensions-apiserver/examples/client-go/main.go","89","LOW","3.0","Example code path - CRD client example; not intended for production use","0.95","semgrep","go.lang.correctness.useless-eqeq","example_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-GOSEC-012","staging/src/k8s.io/code-generator/examples/HyphenGroup/apis/example/v1/types.go","34","LOW","2.0","Example code path - Code generator example showing API type definition patterns","0.95","gosec","G104","example_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-SEMGREP-004","test/integration/examples/webhook_test.go","78","MEDIUM","4.5","Test+Example code path - Webhook integration test example","0.97","semgrep","go.lang.security.audit.crypto.insecure-tls","example_code","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-GOSEC-013","hack/tools/golangci-lint/golangci-lint.go","23","LOW","2.5","Development tooling - Linter wrapper for CI/CD; not part of Kubernetes runtime","0.96","gosec","G104","hack_tools","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-GOSEC-014","hack/tools/publishing-verifier/main.go","56","LOW","3.0","Development tooling - Publishing verification tool for staged modules","0.96","gosec","G104","hack_tools","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-SEMGREP-005","staging/src/k8s.io/code-generator/cmd/applyconfiguration-gen/main.go","89","LOW","2.5","Code generator tooling - Build-time code generation; not runtime code","0.95","semgrep","go.lang.security.audit.dangerous-exec-command","hack_tools","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-SEMGREP-006","staging/src/k8s.io/code-generator/cmd/client-gen/main.go","45","LOW","3.0","Code generator tooling - Client generation tool; development only","0.95","semgrep","go.lang.security.audit.dangerous-exec-command","hack_tools","AUTO_EXCLUDED","2026-02-05T00:00:00Z"
"FP-SEMGREP-007","hack/verify-govulncheck.sh","34","MEDIUM","5.5","CI script - Vulnerability check script used in CI pipeline; requires manual review for command injection patterns","0.85","semgrep","bash.lang.security.audit.dangerous-command-injection","ci_script","NEEDS_MANUAL_REVIEW","2026-02-05T00:00:00Z"
"FP-SEMGREP-008","hack/verify-golangci-lint.sh","56","MEDIUM","5.0","CI script - Linting verification script; manual review needed for shell injection","0.82","semgrep","bash.lang.security.audit.dangerous-command-injection","ci_script","NEEDS_MANUAL_REVIEW","2026-02-05T00:00:00Z"
"FP-SEMGREP-009","hack/update-codegen.sh","123","MEDIUM","5.5","CI script - Code generation update script with external tool invocation","0.80","semgrep","bash.lang.security.audit.dangerous-command-injection","ci_script","NEEDS_MANUAL_REVIEW","2026-02-05T00:00:00Z"
"FP-SEMGREP-010","hack/lib/init.sh","89","LOW","4.0","CI script - Shell library initialization; sourced by other scripts","0.83","semgrep","bash.lang.security.audit.unquoted-variable-expansion","ci_script","NEEDS_MANUAL_REVIEW","2026-02-05T00:00:00Z"
"FP-SEMGREP-011","build/common.sh","234","MEDIUM","5.0","CI script - Common build functions; manual review for credential handling","0.78","semgrep","bash.lang.security.audit.dangerous-command-injection","ci_script","NEEDS_MANUAL_REVIEW","2026-02-05T00:00:00Z"
"FP-SEMGREP-012","cluster/kube-up.sh","567","MEDIUM","5.5","CI script - Cluster provisioning script with cloud provider interactions","0.75","semgrep","bash.lang.security.audit.dangerous-command-injection","ci_script","NEEDS_MANUAL_REVIEW","2026-02-05T00:00:00Z"
"FP-SEMGREP-013","cluster/common.sh","345","MEDIUM","5.0","CI script - Common cluster functions with potential credential exposure patterns","0.77","semgrep","bash.lang.security.audit.dangerous-command-injection","ci_script","NEEDS_MANUAL_REVIEW","2026-02-05T00:00:00Z"
